strategy,relay_count,tree_length,timestep
None (Stable),0,4.052563076874387,1
None (Stable),0,8.105126153748774,2
None (Stable),0,12.157689230623248,3
None (Stable),0,16.210252307497726,4
None (Stable),0,20.2628153843722,5
None (Stable),0,24.315378461246603,6
None (Stable),0,27.174190012986525,7
None (Stable),0,27.734213113979997,8
None (Stable),0,28.473067691869637,9
None (Stable),0,29.469902678743203,10
None (Stable),0,30.82440509685377,11
None (Stable),0,32.63075692249285,12
None (Stable),0,33.80764239419755,13
None (Stable),0,34.52858840452122,14
None (Stable),0,35.607585784128844,15
None (Stable),0,36.94494887182762,16
None (Stable),0,38.46153008500229,17
None (Stable),0,40.10191593547231,18
None (Stable),0,41.82904486534129,19
None (Stable),0,43.61828234855811,20
None (Stable),0,45.45305521699522,21
None (Stable),0,47.32199313917462,22
None (Stable),0,49.217122515809024,23
None (Stable),0,51.13272850652923,24
None (Stable),0,53.064629767319964,25
None (Stable),0,55.009708058189126,26
None (Stable),0,56.96559708970122,27
None (Stable),0,58.93047254685442,28
None (Stable),0,60.90290761723676,29
None (Stable),0,62.88177174655073,30
None (Stable),0,64.86615845790827,31
None (Stable),0,66.85533306327355,32
None (Stable),0,68.84869422037671,33
None (Stable),0,70.8457452793108,34
None (Stable),0,72.84607265352874,35
None (Stable),0,74.8493293005316,36
None (Stable),0,76.85522196714274,37
None (Stable),0,78.86350124149797,38
None (Stable),0,80.87395372091044,39
None (Stable),0,82.88639579138695,40
None (Stable),0,84.90066864665087,41
None (Stable),0,86.91663426911852,42
None (Stable),0,88.9341721637803,43
None (Stable),0,90.95317668607798,44
None (Stable),0,92.97355484192323,45
None (Stable),0,94.9952244656579,46
None (Stable),0,97.01811270256135,47
None (Stable),0,99.04215473831121,48
None (Stable),0,101.06729272988153,49
None (Stable),0,103.09347490168179,50
None (Stable),0,105.12065477796001,51
search,1,107.1589686948365,52
None (Stable),40,109.17795311064825,53
None (Stable),40,111.20801486044324,54
None (Stable),40,113.23896686293979,55
search,1,115.27037456880613,56
None (Stable),40,117.30318810254423,57
None (Stable),40,119.33669960982762,58
None (Stable),40,121.37101576823407,59
search,1,123.40456427088972,60
None (Stable),40,125.44114795751716,61
None (Stable),40,127.47774721567603,62
None (Stable),40,129.51508395394015,63
search,1,131.5502671075753,64
None (Stable),40,133.59031855474345,65
None (Stable),40,135.6297029444278,66
None (Stable),40,137.6697730409304,67
search,1,139.70653002235773,68
None (Stable),40,141.74952451866167,69
None (Stable),40,143.7914421407409,70
None (Stable),40,145.83400647419657,71
search,1,147.87265600153893,72
None (Stable),40,149.9179315235627,73
None (Stable),40,151.96217235883225,74
None (Stable),40,154.0070314998143,75
None (Stable),40,156.05455143667416,76
None (Stable),40,158.0780065680863,77
None (Stable),40,160.18248407786226,78
None (Stable),40,161.69257637720293,79
None (Stable),40,164.099573091957,80
None (Stable),40,166.62173595012538,81
None (Stable),40,169.24632656211455,82
None (Stable),40,171.96337681644638,83
None (Stable),40,174.71796670354834,84
None (Stable),40,177.50279856145553,85
search,1,179.31766951887647,86
None (Stable),40,182.56551854006696,87
None (Stable),40,185.53624591677314,88
None (Stable),40,188.58304382878887,89
None (Stable),40,191.70171736150638,90
None (Stable),40,194.8885329769181,91
None (Stable),40,198.14012378443195,92
None (Stable),40,201.45341725270404,93
None (Stable),40,204.82558006549465,94
None (Stable),40,208.25397607338897,95
None (Stable),40,211.73613424574316,96
None (Stable),40,215.26972425186594,97
search,2,215.9726676037093,98
search,2,218.84161227406025,99
search,2,222.15572159913393,100
search,2,225.50309967811793,101
search,2,227.13576341168869,102
search,2,228.65321369046032,103
search,2,230.21894374888802,104
search,2,231.82481572530833,105
search,2,233.46724376323832,106
search,2,235.143112391867,107
search,2,236.84971266315912,108
search,2,238.57421953807665,109
search,2,240.23775159566105,110
search,2,241.9670036554728,111
search,2,243.7225900345651,112
search,2,245.50290668101536,113
search,2,247.3065570055803,114
search,2,249.1323295021046,115
search,2,250.97917866054942,116
search,2,252.84620872130367,117
None (Stable),40,255.05964653295712,118
search,2,256.63789667846595,119
search,2,258.5613981346332,120
search,4,260.7080468456691,121
search,3,262.4639384511562,122
search,3,264.43998558496145,123
search,3,266.4332297354134,124
search,3,268.4436256877654,125
