N,K,Strategy,Makespan,Total_Distance,Sample
8,4,greedy-dynamic,4.4,72.8634849754693,0
8,4,phased-hungarian,3.4000000000000017,98.21539773822207,0
8,4,v4.2-adaptive,2.700000000000001,83.52169081974799,0
8,4,greedy-dynamic,3.3000000000000016,52.89949493661167,1
8,4,phased-hungarian,1.4000000000000001,48.31370849898476,1
8,4,v4.2-adaptive,1.4000000000000001,48.88634951737267,1
8,4,greedy-dynamic,4.300000000000001,53.18757861760493,2
8,4,phased-hungarian,3.2000000000000015,88.52461333669419,2
8,4,v4.2-adaptive,2.600000000000001,80.44060647924147,2
8,4,greedy-dynamic,1.8000000000000005,45.256850714510506,3
8,4,phased-hungarian,3.2000000000000015,90.22667721206795,3
8,4,v4.2-adaptive,1.4000000000000001,51.828427124746185,3
8,4,greedy-dynamic,3.800000000000002,62.74868884386421,4
8,4,phased-hungarian,3.0000000000000013,86.05247738169462,4
8,4,v4.2-adaptive,1.8000000000000005,62.07463837598151,4
8,4,greedy-dynamic,2.500000000000001,42.21857652313454,5
8,4,phased-hungarian,2.500000000000001,76.99694700491231,5
8,4,v4.2-adaptive,1.7000000000000004,64.53663105724556,5
8,4,greedy-dynamic,3.1000000000000014,52.13111131512935,6
8,4,phased-hungarian,2.2000000000000006,70.52055041777328,6
8,4,v4.2-adaptive,2.0000000000000004,70.41421356237309,6
8,4,greedy-dynamic,3.800000000000002,74.10959596213549,7
8,4,phased-hungarian,2.2000000000000006,71.15532775194853,7
8,4,v4.2-adaptive,1.5000000000000002,56.37338021109636,7
8,4,greedy-dynamic,0.9999999999999999,23.349894467247978,8
8,4,phased-hungarian,1.2,37.819131909660754,8
8,4,v4.2-adaptive,1.8000000000000005,63.91318878003983,8
8,4,greedy-dynamic,3.2000000000000015,64.72792206135786,9
8,4,phased-hungarian,2.700000000000001,82.90339184974381,9
8,4,v4.2-adaptive,2.700000000000001,89.18691259711844,9
8,5,greedy-dynamic,3.1000000000000014,71.16264515136974,0
8,5,phased-hungarian,2.1000000000000005,86.31270035239724,0
8,5,v4.2-adaptive,2.3000000000000007,89.05589317775578,0
8,5,greedy-dynamic,3.0000000000000013,68.1198156732271,1
8,5,phased-hungarian,1.9000000000000006,78.58738345901943,1
8,5,v4.2-adaptive,2.500000000000001,95.30798384801535,1
8,5,greedy-dynamic,4.200000000000001,68.73546672041287,2
8,5,phased-hungarian,1.7000000000000004,73.02093924550331,2
8,5,v4.2-adaptive,2.1000000000000005,90.33101720741476,2
8,5,greedy-dynamic,3.700000000000002,75.75892051698523,3
8,5,phased-hungarian,2.0000000000000004,87.60863809243511,3
8,5,v4.2-adaptive,2.0000000000000004,85.18002787140064,3
8,5,greedy-dynamic,3.0000000000000013,60.53209239365492,4
8,5,phased-hungarian,1.8000000000000005,78.58273344253922,4
8,5,v4.2-adaptive,2.600000000000001,93.79215185648413,4
8,5,greedy-dynamic,2.500000000000001,61.09150284173502,5
8,5,phased-hungarian,1.5000000000000002,65.19216739407231,5
8,5,v4.2-adaptive,2.700000000000001,91.23622790540469,5
8,5,greedy-dynamic,2.1000000000000005,59.28217036279346,6
8,5,phased-hungarian,2.0000000000000004,80.78899507796983,6
8,5,v4.2-adaptive,2.400000000000001,86.25652610593211,6
8,5,greedy-dynamic,2.0000000000000004,56.949575888447654,7
8,5,phased-hungarian,1.9000000000000006,72.12925397418152,7
8,5,v4.2-adaptive,2.0000000000000004,86.10146931058979,7
8,5,greedy-dynamic,4.300000000000001,69.38552228553044,8
8,5,phased-hungarian,2.0000000000000004,83.85866158533493,8
8,5,v4.2-adaptive,2.3000000000000007,101.1791535714283,8
8,5,greedy-dynamic,2.1000000000000005,52.27520814425062,9
8,5,phased-hungarian,1.8000000000000005,80.52481104991274,9
8,5,v4.2-adaptive,2.400000000000001,95.38177416534677,9
8,6,greedy-dynamic,2.2000000000000006,71.71052833942518,0
8,6,phased-hungarian,1.9000000000000006,88.71206033289009,0
8,6,v4.2-adaptive,1.6000000000000003,81.16263530129183,0
