time,type,uav_id,details
6.5,target_discovery,0,"{""target_id"": 5, ""position"": [1.5, 0.5]}"
7.1,target_discovery,5,"{""target_id"": 1, ""position"": [1.5, 7.5]}"
10.7,target_discovery,9,"{""target_id"": 3, ""position"": [8.5, 1.5]}"
11.7,target_discovery,6,"{""target_id"": 11, ""position"": [6.5, 6.5]}"
12.6,target_discovery,5,"{""target_id"": 9, ""position"": [1.5, 6.5]}"
12.7,outer_complete,0,"{""cells_covered"": 12}"
12.8,target_discovery,6,"{""target_id"": 8, ""position"": [5.5, 6.5]}"
13.9,target_discovery,6,"{""target_id"": 7, ""position"": [5.5, 5.5]}"
15.3,target_discovery,2,"{""target_id"": 2, ""position"": [6.5, 10.5]}"
16.2,target_discovery,4,"{""target_id"": 4, ""position"": [4.5, 8.5]}"
16.8,outer_complete,1,"{""cells_covered"": 12}"
17.2,target_discovery,6,"{""target_id"": 10, ""position"": [4.5, 3.5]}"
17.2,outer_complete,7,"{""cells_covered"": 12}"
18.3,outer_complete,8,"{""cells_covered"": 12}"
18.6,target_discovery,9,"{""target_id"": 6, ""position"": [11.5, 0.5]}"
19.7,target_discovery,2,"{""target_id"": 0, ""position"": [9.5, 9.5]}"
19.8,outer_complete,6,"{""cells_covered"": 12}"
20.7,outer_complete,5,"{""cells_covered"": 12}"
23.1,outer_complete,2,"{""cells_covered"": 12}"
23.1,outer_complete,4,"{""cells_covered"": 12}"
23.3,outer_complete,9,"{""cells_covered"": 14}"
23.8,outer_complete,11,"{""cells_covered"": 10}"
24.0,outer_complete,10,"{""cells_covered"": 12}"
24.1,outer_complete,3,"{""cells_covered"": 12}"
