time,type,uav_id,details
1.1,target_discovery,0,"{""target_id"": 5, ""position"": [1.5, 0.5]}"
7.2,target_discovery,4,"{""target_id"": 1, ""position"": [1.5, 7.5]}"
9.0,target_discovery,2,"{""target_id"": 3, ""position"": [8.5, 1.5]}"
11.3,outer_complete,2,"{""cells_covered"": 10}"
11.9,target_discovery,0,"{""target_id"": 6, ""position"": [11.5, 0.5]}"
14.0,outer_complete,3,"{""cells_covered"": 12}"
15.6,target_discovery,7,"{""target_id"": 0, ""position"": [9.5, 9.5]}"
18.1,outer_complete,4,"{""cells_covered"": 12}"
21.2,outer_complete,6,"{""cells_covered"": 10}"
22.6,outer_complete,1,"{""cells_covered"": 21}"
23.8,outer_complete,0,"{""cells_covered"": 23}"
25.2,outer_complete,5,"{""cells_covered"": 15}"
27.8,outer_complete,7,"{""cells_covered"": 15}"
