time,type,uav_id,details
1.1,target_discovery,0,"{""target_id"": 5, ""position"": [1.5, 0.5]}"
6.3,target_discovery,6,"{""target_id"": 10, ""position"": [4.5, 3.5]}"
8.6,outer_complete,6,"{""cells_covered"": 6}"
9.0,target_discovery,4,"{""target_id"": 3, ""position"": [8.5, 1.5]}"
9.8,outer_complete,5,"{""cells_covered"": 8}"
11.1,outer_complete,4,"{""cells_covered"": 10}"
11.9,target_discovery,0,"{""target_id"": 6, ""position"": [11.5, 0.5]}"
13.4,target_discovery,2,"{""target_id"": 1, ""position"": [1.5, 7.5]}"
14.5,target_discovery,2,"{""target_id"": 9, ""position"": [1.5, 6.5]}"
14.5,outer_complete,8,"{""cells_covered"": 6}"
14.6,target_discovery,10,"{""target_id"": 0, ""position"": [9.5, 9.5]}"
15.8,outer_complete,3,"{""cells_covered"": 6}"
17.7,outer_complete,7,"{""cells_covered"": 8}"
17.8,outer_complete,2,"{""cells_covered"": 8}"
18.5,outer_complete,11,"{""cells_covered"": 6}"
18.6,target_discovery,9,"{""target_id"": 2, ""position"": [6.5, 10.5]}"
21.2,target_discovery,10,"{""target_id"": 4, ""position"": [4.5, 8.5]}"
21.3,outer_complete,10,"{""cells_covered"": 8}"
22.6,outer_complete,1,"{""cells_covered"": 21}"
23.8,outer_complete,0,"{""cells_covered"": 23}"
24.2,outer_complete,9,"{""cells_covered"": 10}"
