uav_count,seed,method,outer_complete,inner_complete,discovery_complete,monitoring_complete,total_time,rrbba_triggers,makespan,total_distance,plot_path,comparison_plot,status
4,1,OBLAP,40,40,39,48,49,2,,,batch_test_4to6_plots_20251228_175035\OBLAP_UAV4_Seed1.png,batch_test_4to6_plots_20251228_175035\Comparison_UAV4_Seed1.png,success
4,1,TSP,,,,,,,55.3,189.25,,batch_test_4to6_plots_20251228_175035\Comparison_UAV4_Seed1.png,success
4,2,OBLAP,41,53,54,64,65,2,,,batch_test_4to6_plots_20251228_175035\OBLAP_UAV4_Seed2.png,batch_test_4to6_plots_20251228_175035\Comparison_UAV4_Seed2.png,success
4,2,TSP,,,,,,,54.3,182.24,,batch_test_4to6_plots_20251228_175035\Comparison_UAV4_Seed2.png,success
4,3,OBLAP,21,21,20,35,36,1,,,batch_test_4to6_plots_20251228_175035\OBLAP_UAV4_Seed3.png,batch_test_4to6_plots_20251228_175035\Comparison_UAV4_Seed3.png,success
4,3,TSP,,,,,,,58.3,192.76,,batch_test_4to6_plots_20251228_175035\Comparison_UAV4_Seed3.png,success
4,4,OBLAP,33,33,32,44,45,1,,,batch_test_4to6_plots_20251228_175035\OBLAP_UAV4_Seed4.png,batch_test_4to6_plots_20251228_175035\Comparison_UAV4_Seed4.png,success
4,4,TSP,,,,,,,54.3,184.08,,batch_test_4to6_plots_20251228_175035\Comparison_UAV4_Seed4.png,success
4,5,OBLAP,29,29,28,38,39,1,,,batch_test_4to6_plots_20251228_175035\OBLAP_UAV4_Seed5.png,batch_test_4to6_plots_20251228_175035\Comparison_UAV4_Seed5.png,success
4,5,TSP,,,,,,,59.3,189.96,,batch_test_4to6_plots_20251228_175035\Comparison_UAV4_Seed5.png,success
4,6,OBLAP,32,32,31,43,44,1,,,batch_test_4to6_plots_20251228_175035\OBLAP_UAV4_Seed6.png,batch_test_4to6_plots_20251228_175035\Comparison_UAV4_Seed6.png,success
4,6,TSP,,,,,,,53.6,185.06,,batch_test_4to6_plots_20251228_175035\Comparison_UAV4_Seed6.png,success
4,7,OBLAP,13,13,12,18,19,1,,,batch_test_4to6_plots_20251228_175035\OBLAP_UAV4_Seed7.png,batch_test_4to6_plots_20251228_175035\Comparison_UAV4_Seed7.png,success
4,7,TSP,,,,,,,52.4,180.13,,batch_test_4to6_plots_20251228_175035\Comparison_UAV4_Seed7.png,success
4,8,OBLAP,25,25,24,37,38,3,,,batch_test_4to6_plots_20251228_175035\OBLAP_UAV4_Seed8.png,batch_test_4to6_plots_20251228_175035\Comparison_UAV4_Seed8.png,success
4,8,TSP,,,,,,,55.3,183.31,,batch_test_4to6_plots_20251228_175035\Comparison_UAV4_Seed8.png,success
