uav_count,seed,method,outer_complete,inner_complete,discovery_complete,monitoring_complete,total_time,rrbba_triggers,makespan,total_distance,plot_path,comparison_plot,status
8,1,OBLAP,20,20,19,29,30,2,,,batch_test_plots_20251228_192153\OBLAP_UAV8_Seed1.png,batch_test_plots_20251228_192153\Comparison_UAV8_Seed1.png,success
8,1,TSP,,,,,,,34.4,220.48,,batch_test_plots_20251228_192153\Comparison_UAV8_Seed1.png,success
8,2,OBLAP,20,20,19,29,30,2,,,batch_test_plots_20251228_192153\OBLAP_UAV8_Seed2.png,batch_test_plots_20251228_192153\Comparison_UAV8_Seed2.png,success
8,2,TSP,,,,,,,34.6,221.08,,batch_test_plots_20251228_192153\Comparison_UAV8_Seed2.png,success
8,3,OBLAP,18,18,17,29,30,2,,,batch_test_plots_20251228_192153\OBLAP_UAV8_Seed3.png,batch_test_plots_20251228_192153\Comparison_UAV8_Seed3.png,success
8,3,TSP,,,,,,,40.0,231.05,,batch_test_plots_20251228_192153\Comparison_UAV8_Seed3.png,success
8,4,OBLAP,24,24,26,37,38,4,,,batch_test_plots_20251228_192153\OBLAP_UAV8_Seed4.png,batch_test_plots_20251228_192153\Comparison_UAV8_Seed4.png,success
8,4,TSP,,,,,,,35.7,225.99,,batch_test_plots_20251228_192153\Comparison_UAV8_Seed4.png,success
8,5,OBLAP,23,23,22,34,35,2,,,batch_test_plots_20251228_192153\OBLAP_UAV8_Seed5.png,batch_test_plots_20251228_192153\Comparison_UAV8_Seed5.png,success
8,5,TSP,,,,,,,38.1,235.09,,batch_test_plots_20251228_192153\Comparison_UAV8_Seed5.png,success
8,6,OBLAP,14,14,13,25,26,2,,,batch_test_plots_20251228_192153\OBLAP_UAV8_Seed6.png,batch_test_plots_20251228_192153\Comparison_UAV8_Seed6.png,success
8,6,TSP,,,,,,,37.7,232.07,,batch_test_plots_20251228_192153\Comparison_UAV8_Seed6.png,success
8,7,OBLAP,24,24,23,34,35,2,,,batch_test_plots_20251228_192153\OBLAP_UAV8_Seed7.png,batch_test_plots_20251228_192153\Comparison_UAV8_Seed7.png,success
8,7,TSP,,,,,,,36.6,226.36,,batch_test_plots_20251228_192153\Comparison_UAV8_Seed7.png,success
